# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     38.97     -38.97       0.00       0.00       0.00       0.00       0.00       0.00    0.108    './gold_soln_DecoysActives_m167_3.sdf'             'Compound 160'
     28.49     -19.85       1.00       0.00       0.94       0.00       0.00       0.00    0.110    './gold_soln_DecoysActives_m168_1.sdf'             'Compound 161'
     50.74     -25.60       3.88       0.98       1.99       0.00       0.68       0.00    1.096    './gold_soln_DecoysActives_m169_2.sdf'             'Compound 162'
     41.52     -29.71       0.00       0.00       1.97       0.00       0.00       0.00    0.474    './gold_soln_DecoysActives_m170_3.sdf'             'Compound 163'
     60.66     -50.19       1.99       0.00       0.94       0.00       0.61       0.05   10.537   './gold_soln_DecoysActives_m171_13.sdf'             'Compound 164'
     44.80     -39.91       0.00       0.00       0.94       0.00       0.74       0.73    0.681    './gold_soln_DecoysActives_m172_2.sdf'             'Compound 165'
     29.52     -29.52       0.00       0.00       0.00       0.00       0.00       0.00    0.121    './gold_soln_DecoysActives_m173_1.sdf'             'Compound 166'
     38.81     -32.41       0.46       0.00       0.97       0.00       1.35       1.87    2.581    './gold_soln_DecoysActives_m174_4.sdf'             'Compound 167'
     48.83     -25.68       1.96       0.00       2.96       0.00       0.25       0.00    0.493    './gold_soln_DecoysActives_m175_2.sdf'             'Compound 168'
     52.50     -38.66       1.00       0.00       1.99       0.00       2.04       2.99    6.807   './gold_soln_DecoysActives_m176_12.sdf'             'Compound 169'
     56.97     -46.15       1.99       0.00       0.94       0.00       0.40       0.01    0.666    './gold_soln_DecoysActives_m177_3.sdf'             'Compound 170'
     49.61     -35.44       1.00       0.00       1.97       0.00       0.94       1.24    2.045    './gold_soln_DecoysActives_m178_7.sdf'             'Compound 171'
     43.47     -34.75       1.00       0.00       0.97       0.00       0.15       0.21    1.053    './gold_soln_DecoysActives_m179_1.sdf'             'Compound 172'
     45.04     -26.25       1.00       0.00       2.67       0.00       0.11       0.00    3.632    './gold_soln_DecoysActives_m180_9.sdf'             'Compound 173'
     56.53     -38.75       2.94       0.00       1.93       0.00       2.26       1.91    0.834    './gold_soln_DecoysActives_m181_1.sdf'             'Compound 174'
     53.08     -37.40       1.39       0.00       2.00       0.00       1.25       2.05    1.033    './gold_soln_DecoysActives_m182_1.sdf'             'Compound 175'
     49.87     -36.17       0.69       0.00       1.97       0.00       0.09       0.00    0.873    './gold_soln_DecoysActives_m183_1.sdf'             'Compound 176'
     47.32     -43.45       1.98       0.00       0.00       0.00       1.17       0.27    7.262    './gold_soln_DecoysActives_m184_8.sdf'             'Compound 177'
